,titulo,clasificacion,duracion,genero,año,tipo_de_audio,sinopsis
10,Apariciones online,SAM16,90 MIN,"DRAMA, HISTÓRICA",2005,ESTÉREO,"Extraños y aterradores sucesos rodean a una familia (Donald Sutherland, Sissy Spacek, Rachel Hurd-Wood) en el estado de Tennessee de 1817 luego de que un ciudadano maldijera al padre. Possession knows"
11,El último cazador de brujas online,SAM13,106 MIN,"ACCIÓN, DE AVENTURAS",2015,SONIDO ENVOLVENTE 5.1,El último cazador de brujas es la única barrera entre la humanidad y las fuerzas combinadas de las más terribles brujas de la historia.
12,Red 2 online,SAM13,115 MIN,"ACCIÓN, COMEDIA",2013,SONIDO ENVOLVENTE 5.1,"El ex agente de la CIA Frank Moses y su equipo de desafortunados héroes regresan para otra misión arriesgada, esta vez con la tarea de encontrar un arma nuclear peligrosa."
13,Elizabeth: La edad de oro online,SAM13,114 MIN,"ACCIÓN, DE AVENTURAS",2007,SONIDO ENVOLVENTE 5.1,"Cate Blanchett y Geoffrey Rush protagonizan esta emocionante historia de la lucha de una mujer para controlar el amor, aplastar a sus enemigos y consolidarse en el trono de Inglaterra."
14,The Grudge 2 online,SAM13,102 MIN,"DE TERROR, SUSPENSO",2006,ESTÉREO,Una joven mujer (Amber Tamblyn) descubre una terrible maldición mientras busca a su hermana (Sarah Michelle Gellar) desaparecida en Tokio.
15,Anna Karenina online,SAM16,129 MIN,"DRAMA, ROMÁNTICA",2012,SONIDO ENVOLVENTE 5.1,"La historia explora con fuerza la capacidad de amar del corazón humano. Anna (Knightley) duda de su felicidad y de su matrimonio, y los cambios se suceden a su alrededor."
16,Oscura seducción online,SAM16,89 MIN,ROMÁNTICA,2011,SONIDO ENVOLVENTE 5.1,"Una cirujana plástica exitosa se embarca en una aventura apasionada con un enfermero, solo para descubrir el lado oscuro de su personalidad que alcanza niveles aterradores cuando ella se ve obligada a"
17,The Dresser online,SAM13,109 MIN,"DRAMA, LITERARIA",2015,ESTÉREO,"En esta historia perversamente divertida y conmovedora, Sir reflexiona sobre sus logros y busca reconciliar sus turbulentas amistades con sus empleados antes del telón final."
18,Dura verdad online,SAM13,93 MIN,"ACCIÓN, MISTERIO/SUSPENSO",2012,ESTÉREO,"Durante su viaje en velero por España, una familia entera es secuestrada. Ahora, un joven de Wall Street debe enfrentar a las personas responsables: agentes de inteligencia del gobierno que buscan"
19,Más fuerte que el destino online,SAM16,118 MIN,DRAMA,2017,SONIDO ENVOLVENTE 5.1,"Más Fuerte que el Destino está inspirada en la historia de Jeff Bauman, un hombre ordinario quien capturó los corazones del mundo, para convertirse en un símbolo de esperanza, después de la infame"
20,El grito 3 online,SAM16,90 MIN,"DE TERROR, MISTERIO",2009,ESTÉREO,Un doctor (Shawnee Smith) necesita la ayuda de una misteriosa mujer japonesa para combatir a dos fantasmas vengativos.
21,El Príncipe y yo online,ATP,110 MIN,"COMEDIA ROMÁNTICA, ADOLESCENTE",2004,ESTÉREO,"Paige es una estudiante de medicina brillante de un pueblo rural con grandes planes para su futuro. Sin embargo, estos planes quedan en un segundo plano cuando conoce a Eddie, un estudiante de"
22,2012 online,SAM13,157 MIN,"ACCIÓN, DRAMA",2009,SONIDO ENVOLVENTE 5.1,"El mundo se enfrenta a una catástrofe de proporciones apocalípticas, las ciudades quedan destruidas y los continentes se desmoronan. En el año 2012 llega el fin del mundo y la heroica lucha de los"
23,La redada online,SAM16,101 MIN,"ACCIÓN, CRIMEN",2012,SONIDO ENVOLVENTE 5.1,"En el corazón de la poblada ciudad de Jakarta está el escondite de una pandilla de traficantes. Antes de amanecer un escuadrón de S.W.A.T llega para atrapar al líder, pero cuando la noticia de la"
24,A conseguir trabajo online,SAM13,82 MIN,"COMEDIA, COMEDIA ROMÁNTICA",2016,SONIDO ENVOLVENTE 5.1,"Cuando Will se queda sin trabajo y a Jillian la despiden, la joven pareja y sus amigos deben soportar la humillación pública, novatadas y pruebas de dopaje sorpresa para poder iniciar sus carreras"
25,Pánico en altamar online,SAM16,94 MIN,"DE AVENTURAS, DRAMA",2006,ESTÉREO,"Un grupo de viejos amigos se encuentran para una reunión a bordo de un yate de lujo, pero el evento se convierte en una pesadilla cuando se lanzan al mar a nadar sin primero bajar la escalera."
26,Tyler Perry's A Madea Christmas online,SAM13,99 MIN,"NAVIDEÑA, COMEDIA",2013,SONIDO ENVOLVENTE 5.1,"A Madea la engatusan para ayudar a una amiga para hacer una visita sorpresa durante la Navidad, a su hija que vive en el campo. Pero la sorpresa mayor es lo que se llevan ellas cuando llegan. Mientras"
27,Dulce venganza 2 online,SAM16,106 MIN,DE TERROR,2013,ESTÉREO,"Del director de la aclamada remake del 2010, este nuevo episodio impactante muestra a una modelo brutalizada que sobrevive para buscar su venganza. Protagonizada por Jemma Dallender y Joe Absolom."
28,Una esposa de mentira online,SAM13,116 MIN,"COMEDIA, ROMÁNTICA",2011,SONIDO ENVOLVENTE 5.1,Un hombre recurre a una mujer y a sus hijos para conquistar a la mujer de sus sueños.
